0x00000000, 0x070708FF, 0x0B0A0AFF, 0x1C1A1BFF, 0x1D1D1EFF, 0x2D2C2EFF, 0x323231FF, 0x363839FF, 
0x3D3F3EFF, 0x424241FF, 0x4A4748FF, 0x494B4AFF, 0x4F4D4CFF, 0x555352FF, 0x555554FF, 0x605D5EFF, 
0x626361FF, 0x656666FF, 0x737676FF, 0x797A79FF, 0x807F7DFF, 0x9A9997FF, 0xA1A19EFF, 0xA6AAA9FF, 
0xABA9A9FF, 0xABACAEFF, 0xB1B2AFFF, 0xB4B2B1FF, 0xB6B3B3FF, 0xB7B5B7FF, 0xB5B9BAFF, 0xB8BBBAFF, 
0xBABDBBFF, 0xC8C8C5FF, 0xCAC7C8FF, 0xCBC9CBFF, 0xCBCAC8FF, 0xE4E6E5FF, 0xE5E6E6FF, 0xE9EAEBFF, 
0xEEECEBFF, 0xAA1D58FF, 0x3F1F29FF, 0xC22264FF, 0xEF367CFF, 0xF6307BFF, 0xA4084DFF, 0xA33458FF, 
0xFB2579FF, 0x8D5262FF, 0xD62669FF, 0xBC919BFF, 0xF8357BFF, 0xE5256DFF, 0x5C3D44FF, 0x84183FFF, 
0xD76986FF, 0xF66E93FF, 0xFD8AA6FF, 0xF65B87FF, 0x965766FF, 0x7A0635FF, 0x5D4348FF, 0xBB4C69FF, 
0xEB6083FF, 0xC997A0FF, 0xB2164CFF, 0xF81F69FF, 0xEEA4B1FF, 0xF05179FF, 0x421922FF, 0xE692A1FF, 
0xF37790FF, 0xD61B59FF, 0xD51256FF, 0xB59499FF, 0x3C2126FF, 0xD93B64FF, 0xB87580FF, 0xA91E46FF, 
0xAB5263FF, 0xD7929CFF, 0xE17B8CFF, 0xFA91A3FF, 0xF592A2FF, 0xFA3569FF, 0xAB2D4CFF, 0xFF2766FF, 
0xE41F57FF, 0xC13755FF, 0x422A2DFF, 0x7C102EFF, 0xA4364BFF, 0xB45F6BFF, 0x632E36FF, 0xA92A45FF, 
0xE8164FFF, 0xBF4556FF, 0x5F3A3DFF, 0xE03A54FF, 0xC44D5AFF, 0xFE184DFF, 0xBC7E81FF, 0xC99E9FFF, 
0xBE0D38FF, 0xE03850FF, 0xD23C4FFF, 0xF4264CFF, 0xC56D71FF, 0xDB7076FF, 0xFC3352FF, 0xAC676AFF, 
0xEFAFB0FF, 0xF93150FF, 0x62252AFF, 0x8C373DFF, 0xFD4157FF, 0x5F3A3BFF, 0xD64451FF, 0xFFA3A4FF, 
0xEA8486FF, 0xF84456FF, 0xE6787AFF, 0xE37778FF, 0xD3565AFF, 0xED8081FF, 0x37030DFF, 0x580B16FF, 
0xD31E34FF, 0x7D2D2FFF, 0xF67877FF, 0x824241FF, 0xF1444BFF, 0xAE2B32FF, 0x8C3737FF, 0x1C0C0CFF, 
0x6E181AFF, 0x93413DFF, 0xB9252AFF, 0xF25C57FF, 0xDDA8A3FF, 0xD82F31FF, 0xCA3937FF, 0xD49D97FF, 
0x7F3C37FF, 0x753D38FF, 0xAB5850FF, 0xFB1A20FF, 0xB35349FF, 0xEB685BFF, 0xE85B4FFF, 0xDF473CFF, 
0xB2090EFF, 0xF36A5AFF, 0xD64639FF, 0xD64235FF, 0x5B3D38FF, 0xB93F32FF, 0x58160FFF, 0xECCAC4FF, 
0xAB1C0EFF, 0x965F55FF, 0x6A3D35FF, 0xCB2814FF, 0xF89C8AFF, 0xD04733FF, 0xDB9384FF, 0x792D20FF, 
0x4E190FFF, 0x8B3F30FF, 0xEA502FFF, 0x3A1810FF, 0xF4866AFF, 0x784C3FFF, 0xF94E1FFF, 0xBF664EFF, 
0x401D14FF, 0x341209FF, 0x673324FF, 0x7F4332FF, 0x27150FFF, 0xB04E2FFF, 0xAF6A54FF, 0x815040FF, 
0xDB6841FF, 0x8A4027FF, 0xEA6231FF, 0x9C5E48FF, 0x89391BFF, 0xFFB192FF, 0xDC5C1DFF, 0x773E23FF, 
0xF3C0AAFF, 0x5B2C15FF, 0x7C5745FF, 0xF27638FF, 0xF6712AFF, 0xC96734FF, 0xF9C0A4FF, 0xD5713CFF, 
0xC25E26FF, 0xC4947BFF, 0xA35C35FF, 0xCF6013FF, 0xD06A2BFF, 0xDF6D21FF, 0x4F2B15FF, 0xCCAA97FF, 
