0x00000000, 0x000000FF, 0x1F1F1FFF, 0x2F2F2FFF, 0x3F3F3FFF, 0x4F4F4FFF, 0x5F5F5FFF, 0x6F6F6FFF, 
0x7F7F7FFF, 0x8F8F8FFF, 0x9F9F9FFF, 0xAFAFAFFF, 0xBFBFBFFF, 0xCFCFCFFF, 0xDFDFDFFF, 0xFFFFFFFF, 
0x3F0000FF, 0x3F2F00FF, 0x1F3F00FF, 0x003F0FFF, 0x003F3FFF, 0x000F3FFF, 0x1F003FFF, 0x3F002FFF, 
0x5F1F1FFF, 0x5F4F1FFF, 0x3F5F1FFF, 0x1F5F2FFF, 0x1F5F5FFF, 0x1F2F5FFF, 0x3F1F5FFF, 0x5F1F4FFF, 
0x7F3F3FFF, 0x7F6F3FFF, 0x5F7F3FFF, 0x3F7F4FFF, 0x3F7F7FFF, 0x3F4F7FFF, 0x5F3F7FFF, 0x7F3F6FFF, 
0x9F5F5FFF, 0x9F8F5FFF, 0x7F9F5FFF, 0x5F9F6FFF, 0x5F9F9FFF, 0x5F6F9FFF, 0x7F5F9FFF, 0x9F5F8FFF, 
0xBF7F7FFF, 0xBFAF7FFF, 0x9FBF7FFF, 0x7FBF8FFF, 0x7FBFBFFF, 0x7F8FBFFF, 0x9F7FBFFF, 0xBF7FAFFF, 
0xDF9F9FFF, 0xDFCF9FFF, 0xBFDF9FFF, 0x9FDFAFFF, 0x9FDFDFFF, 0x9FAFDFFF, 0xBF9FDFFF, 0xDF9FCFFF, 
0xFFBFBFFF, 0xFFEFBFFF, 0xDFFFBFFF, 0xBFFFCFFF, 0xBFFFFFFF, 0xBFCFFFFF, 0xDFBFFFFF, 0xFFBFEFFF, 
0x7F0000FF, 0x7F2F00FF, 0x7F5F00FF, 0x6F7F00FF, 0x3F7F00FF, 0x0F7F00FF, 0x007F1FFF, 0x007F4FFF, 
0x007F7FFF, 0x004F7FFF, 0x001F7FFF, 0x0F007FFF, 0x3F007FFF, 0x6F007FFF, 0x7F005FFF, 0x7F002FFF, 
0x9F1F1FFF, 0x9F4F1FFF, 0x9F7F1FFF, 0x8F9F1FFF, 0x5F9F1FFF, 0x2F9F1FFF, 0x1F9F3FFF, 0x1F9F6FFF, 
0x1F9F9FFF, 0x1F6F9FFF, 0x1F3F9FFF, 0x2F1F9FFF, 0x5F1F9FFF, 0x8F1F9FFF, 0x9F1F7FFF, 0x9F1F4FFF, 
0xBF3F3FFF, 0xBF6F3FFF, 0xBF9F3FFF, 0xAFBF3FFF, 0x7FBF3FFF, 0x4FBF3FFF, 0x3FBF5FFF, 0x3FBF8FFF, 
0x3FBFBFFF, 0x3F8FBFFF, 0x3F5FBFFF, 0x4F3FBFFF, 0x7F3FBFFF, 0xAF3FBFFF, 0xBF3F9FFF, 0xBF3F6FFF, 
0xDF5F5FFF, 0xDF8F5FFF, 0xDFBF5FFF, 0xCFDF5FFF, 0x9FDF5FFF, 0x6FDF5FFF, 0x5FDF7FFF, 0x5FDFAFFF, 
0x5FDFDFFF, 0x5FAFDFFF, 0x5F7FDFFF, 0x6F5FDFFF, 0x9F5FDFFF, 0xCF5FDFFF, 0xDF5FBFFF, 0xDF5F8FFF, 
0xFF7F7FFF, 0xFFAF7FFF, 0xFFDF7FFF, 0xEFFF7FFF, 0xBFFF7FFF, 0x8FFF7FFF, 0x7FFF9FFF, 0x7FFFCFFF, 
0x7FFFFFFF, 0x7FCFFFFF, 0x7F9FFFFF, 0x8F7FFFFF, 0xBF7FFFFF, 0xEF7FFFFF, 0xFF7FDFFF, 0xFF7FAFFF, 
0xBF0000FF, 0xBF2F00FF, 0xBF5F00FF, 0xBF8F00FF, 0xBFBF00FF, 0x8FBF00FF, 0x5FBF00FF, 0x2FBF00FF, 
0x00BF00FF, 0x00BF2FFF, 0x00BF5FFF, 0x00BF8FFF, 0x00BFBFFF, 0x008FBFFF, 0x005FBFFF, 0x002FBFFF, 
0x0000BFFF, 0x2F00BFFF, 0x5F00BFFF, 0x8F00BFFF, 0xBF00BFFF, 0xBF008FFF, 0xBF005FFF, 0xBF002FFF, 
0xDF1F1FFF, 0xDF4F1FFF, 0xDF7F1FFF, 0xDFAF1FFF, 0xDFDF1FFF, 0xAFDF1FFF, 0x7FDF1FFF, 0x4FDF1FFF, 
